location,size,total_sqft,bath,price,bhk,price_per_sqft
Ramakrishnappa Layout,3 BHK,2770,3,460,3,16606.49819
EPIP Zone,4 BHK,3035,5,200,4,6589.785832
Maragondanahalli,3 BHK,1533,3,85,3,5544.683627
Akshaya Nagar,3 BHK,1720,3,134,3,7790.697674
Frazer Town,3 BHK,2000,3,200,3,10000
Yeshwanthpur,2 BHK,1185,2,75.84,2,6400
Varthur Road,2 BHK,900,2,27,2,3000
Attibele,1 BHK,395,1,10.25,1,2594.936709
Electronic City Phase II,2 BHK,1031,2,56.35,2,5465.56741
3rd Block Banashankari,6 Bedroom,2400,8,650,6,27083.33333
Thanisandra,4 BHK,2650,4,240,4,9056.603774
Basaveshwara Nagar,5 Bedroom,2400,5,415,5,17291.66667
Uttarahalli,3 BHK,1330,2,46.55,3,3500
Hennur,2 BHK,1259,2,57,2,4527.402701
Raja Rajeshwari Nagar,3 BHK,1570,3,88,3,5605.095541
Bisuvanahalli,3 BHK,1075,2,36,3,3348.837209
Whitefield,2 BHK,1216,2,79,2,6496.710526
Sarjapur  Road,3 BHK,1428,2,66,3,4621.848739
Begur Road,2 BHK,1160,2,40.59,2,3499.137931
 ittamadu,3 Bedroom,600,2,110,3,18333.33333
Doddakannelli,3 BHK,1475,3,70,3,4745.762712
Harlur,3 BHK,1754,3,135,3,7696.693273
Rayasandra,3 BHK,1639,3,83,3,5064.063453
Hennur Road,3 BHK,1804,3,102,3,5654.101996
Whitefield,3 Bedroom,1200,3,56.2,3,4683.333333
Anand Nagar,2 BHK,1135,2,55,2,4845.814978
Begur Road,2 BHK,1260,2,46.62,2,3700
Peenya,5 Bedroom,1440,5,110,5,7638.888889
Hennur Road,3 BHK,2160,3,160,3,7407.407407
Rayasandra,7 Bedroom,700,6,85,7,12142.85714
Rachenahalli,2 BHK,1220,2,59.5,2,4877.04918
Margondanahalli,2 Bedroom,1200,2,67,2,5583.333333
Yelahanka,2 BHK,1300,2,65,2,5000
Cox Town,1 BHK,605,1,29,1,4793.38843
Vijayanagar,6 Bedroom,1230,4,210,6,17073.17073
Bhoganhalli,2 BHK,1444,2,75.97,2,5261.080332
Amruthahalli,2 BHK,924,2,45,2,4870.12987
Kaikondrahalli,2 BHK,1000,2,30,2,3000
Vishveshwarya Layout,4 Bedroom,600,4,95,4,15833.33333
Patelappa Layout,3 Bedroom,1200,3,225,3,18750
Bisuvanahalli,2 BHK,845,2,29,2,3431.952663
Kanakpura Road,2 BHK,700,2,35,2,5000
Kothanur,2 BHK,1187,2,58,2,4886.267902
Kaggadasapura,3 BHK,1625,3,55,3,3384.615385
 Devarachikkanahalli,2 Bedroom,1200,2,83,2,6916.666667
Pulkeshi Nagar,2 BHK,1452.55,2,110,2,7572.889057
"Thanisandra Main Road, ",3 BHK,2357,3,151,3,6406.448876
Kaval Byrasandra,2 BHK,1200,2,49.5,2,4125
Budigere,2 BHK,1139,2,56.85,2,4991.220369
Basavangudi,1 Bedroom,600,1,97.5,1,16250
Kanakpura Road,3 BHK,1660,3,75,3,4518.072289
Jayanagar,2 BHK,1170,2,105,2,8974.358974
Somasundara Palya,2 BHK,1448,2,68,2,4696.132597
Kadugodi,3 BHK,1762,3,110,3,6242.905789
Kaggadasapura,2 BHK,1105,2,38.65,2,3497.737557
Yelahanka,3 BHK,1825,3,105,3,5753.424658
 Bhoganhalli,1 RK,296,1,22.89,1,7733.108108
Kumbalgodu,5 Bedroom,1200,4,85,5,7083.333333
Thanisandra,2 BHK,1185,2,43,2,3628.691983
Electronic City Phase II,3 BHK,1320,2,38.12,3,2887.878788
Hulimavu,2 BHK,1058,2,48,2,4536.862004
Bellandur,2 BHK,1220,2,60,2,4918.032787
Sarjapur,2 BHK,925,2,25,2,2702.702703
Old Madras Road,2 BHK,1200,2,72,2,6000
Kengeri,3 BHK,1160,2,40.6,3,3500
Kengeri Satellite Town,3 Bedroom,600,4,72,3,12000
banashankari stage iii sa,3 BHK,1411,3,91.72,3,6500.354359
Bannerghatta Road,3 BHK,1550,3,78,3,5032.258065
Green Glen Layout,4 BHK,3250,4,230,4,7076.923077
Haralur Road,3 BHK,2475,4,130,3,5252.525253
7th Phase JP Nagar,4 BHK,2503,4,188,4,7510.986816
Marathahalli,4 BHK,2524,5,190,4,7527.733756
Kaggadasapura,2 BHK,1063,2,42,2,3951.081844
Kanakpura Road,2 BHK,1077,2,37.7,2,3500.464253
Manayata Tech Park,2 BHK,1200,3,44,2,3666.666667
Hosakerehalli,4 BHK,1500,3,70,4,4666.666667
Jalahalli,2 BHK,1045,2,76.77,2,7346.411483
Kanakapura,3 BHK,1290,2,45.15,3,3500
Hoodi,2 BHK,1400,2,78,2,5571.428571
Begur Road,3 BHK,1600,3,58.14,3,3633.75
Jayanagar,3 BHK,3095,3,375,3,12116.31664
Nagavara,3 BHK,1545,2,58,3,3754.045307
Sarjapur  Road,3 BHK,1680,3,112,3,6666.666667
Amruthnagar,2 BHK,1350,2,67.5,2,5000
Gottigere,2 BHK,950,2,38,2,4000
Thanisandra,2 BHK,1050,2,45,2,4285.714286
Banashankari Stage V,3 BHK,1305,2,49,3,3754.789272
Hosakerehalli,4 Bedroom,800,4,120,4,15000
Kodichikkanahalli,5 BHK,2700,7,125,5,4629.62963
MS Pallya,3 Bedroom,1100,3,78,3,7090.909091
Thanisandra,6 Bedroom,3500,5,160,6,4571.428571
Begur Road,3 BHK,1634,3,83.33,3,5099.755202
Prithvi Layout,2 BHK,1352,2,85,2,6286.982249
Balagere,2 BHK,1145,2,65,2,5676.855895
Alfa Garden Layout,2 BHK,1240,2,43.79,2,3531.451613
7th Phase JP Nagar,3 BHK,2200,3,190,3,8636.363636
Bommasandra Industrial Area,2 BHK,1020,2,39,2,3823.529412
Palace Guttahalli,4 BHK,3600,4,365,4,10138.88889
Raja Rajeshwari Nagar,2 BHK,1168,2,61,2,5222.60274
Electronic City Phase II,2 BHK,1205,2,75,2,6224.06639
Yeshwanthpur,2 BHK,1195,2,100,2,8368.200837
CV Raman Nagar,2 BHK,1028,2,49,2,4766.536965
Akshya Nagar,2 BHK,1175,2,48.27,2,4108.085106
Pai Layout,3 BHK,1550,2,90,3,5806.451613
Yeshwanthpur,3 BHK,1826,3,165,3,9036.144578
Hoodi,5 Bedroom,2400,5,160,5,6666.666667
Yelahanka,3 BHK,1603,3,96,3,5988.771054
Marathahalli,3 BHK,1350,3,72,3,5333.333333
KR Puram,1 BHK,714,1,28,1,3921.568627
Whitefield,2 BHK,1215,2,65,2,5349.794239
Malleshpalya,3 BHK,1405,2,77,3,5480.427046
KR Puram,2 BHK,1142,2,51,2,4465.849387
Akshaya Vana,4 Bedroom,4000,4,170,4,4250
Whitefield,3 BHK,1870,3,90,3,4812.834225
Subramanyapura,2 BHK,1313,2,73,2,5559.786748
Hennur Gardens,3 BHK,1945,3,120,3,6169.66581
Thanisandra,3 BHK,1573,3,95,3,6039.41513
Sarjapur  Road,2 BHK,1255,2,92,2,7330.677291
Benson Town,4 BHK,1400,3,91.15,4,6510.714286
Kannamangala,2 BHK,1235,2,43.63,2,3532.793522
Sarjapur  Road,3 BHK,1380,2,52,3,3768.115942
Ramamurthy Nagar,7 Bedroom,1500,9,250,7,16666.66667
Vittasandra,2 BHK,1238,2,67,2,5411.954766
Chennammana Kere,3 BHK,1465,2,74.72,3,5100.341297
Thigalarapalya,2 BHK,1418,2,103,2,7263.751763
Victoria Layout,3 BHK,1650,3,165,3,10000
 Anekal,1 RK,351,1,16,1,4558.404558
Uttarahalli,2 BHK,1279,2,48,2,3752.931978
Kasavanhalli,3 Bedroom,1870,3,200,3,10695.18717
BCC Layout,4 Bedroom,1500,5,230,4,15333.33333
Hebbal,3 BHK,2526,2,250,3,9897.070467
Mathikere,3 Bedroom,1550,2,150,3,9677.419355
Uttarahalli,3 BHK,1845,2,68.27,3,3700.271003
Motappa Layout,3 BHK,1360,2,59.27,3,4358.088235
Friends Colony,3 BHK,1150,2,75,3,6521.73913
Whitefield,2 BHK,1260,2,49.5,2,3928.571429
Doddabidrakallu,3 Bedroom,1200,3,74,3,6166.666667
Dasanapura,2 BHK,965,2,42.5,2,4404.145078
Hoodi,3 BHK,1350,2,48,3,3555.555556
Bhoganhalli,2 BHK,1447,2,75.97,2,5250.172771
Arehalli,3 BHK,1229,3,86.03,3,7000
Kudlu,2 BHK,1027,2,43,2,4186.952288
Gottigere,2 BHK,1153,2,48.5,2,4206.41804
Whitefield,4 BHK,2856,5,145.5,4,5094.537815
Malleshpalya,2 BHK,1065,2,50,2,4694.835681
Tala Cauvery Layout,2 BHK,1030,2,61,2,5922.330097
Mallasandra,2 BHK,1340,2,61,2,4552.238806
Marathahalli,4 BHK,4000,5,212,4,5300
Sri Balaji Krupa Layout,1 Bedroom,600,1,32,1,5333.333333
Begur Road,3 BHK,1410,2,44.42,3,3150.35461
Varthur,2 BHK,1055,2,45.35,2,4298.578199
Yelahanka,2 BHK,1304,2,79,2,6058.282209
Sadashiva Nagar,4 BHK,2720,4,485,4,17830.88235
Kammasandra,2 BHK,990,2,31.5,2,3181.818182
7th Phase JP Nagar,2 BHK,1035,2,39.33,2,3800
Tumkur Road,1 BHK,700,1,30.09,1,4298.571429
Sonnenahalli,2 BHK,1120,2,43,2,3839.285714
Haralur Road,2 BHK,1300,2,73,2,5615.384615
Tumkur Road,2 BHK,1239,2,82,2,6618.240517
Sarjapur  Road,3 BHK,1403,3,51.63,3,3679.97149
Hosa Road,2 BHK,1365,2,92,2,6739.92674
8th block Koramangala,2 BHK,1165,2,135,2,11587.98283
Subramanyapura,3 BHK,1130,2,45.19,3,3999.115044
Green Glen Layout,3 BHK,1776.42,3,105,3,5910.764346
Vidyaranyapura,4 Bedroom,900,4,175,4,19444.44444
Haralur Road,2 BHK,1194,2,47,2,3936.348409
Bidadi,2 BHK,1107,2,33,2,2981.02981
Nagavara,3 BHK,2319,3,180,3,7761.966365
Nallurhalli,3 BHK,1520,3,80,3,5263.157895
Kannamangala,3 BHK,1536,3,89,3,5794.270833
Teachers Colony,4 BHK,3000,4,240,4,8000
Belathur,2 BHK,1050,2,38,2,3619.047619
Hoodi,3 BHK,1850,3,146,3,7891.891892
Billekahalli,2 BHK,1112,2,62,2,5575.539568
Marathahalli,3 BHK,1535,3,72.5,3,4723.127036
Kanakpura Road,2 BHK,1050,2,35,2,3333.333333
Banashankari,4 Bedroom,2400,3,370,4,15416.66667
7th Phase JP Nagar,3 BHK,1250,3,65,3,5200
Kalena Agrahara,2 BHK,1187,2,52,2,4380.791912
9th Phase JP Nagar,2 BHK,1164,2,56,2,4810.996564
Electronic City Phase II,3 BHK,1395,2,62.78,3,4500.358423
Arekere,3 BHK,2072,3,108,3,5212.355212
Kanakpura Road,3 BHK,1450,3,60.91,3,4200.689655
Bannerghatta Road,3 BHK,1550,3,82,3,5290.322581
Sampige Layout,2 BHK,1315,2,90,2,6844.106464
Hebbal,4 BHK,3067,4,230,4,7499.184871
Amruthnagar,2 BHK,1210,2,72,2,5950.413223
Bisuvanahalli,3 BHK,1075,2,47,3,4372.093023
Sathya Sai Layout,6 BHK,11338,9,1000,6,8819.897689
Virgonagar,3 BHK,1215,3,42.2,3,3473.251029
Kaggadasapura,3 BHK,1470,2,75,3,5102.040816
Dodsworth Layout,4 Bedroom,30000,4,2100,4,7000
Hosur Road,3 BHK,1590,2,125,3,7861.63522
Kanakpura Road,2 BHK,1050,2,36.75,2,3500
Raja Rajeshwari Nagar,2 BHK,1306,2,55.91,2,4281.01072
Malleshwaram,3 BHK,2000,3,250,3,12500
"Kudlu Village, ",3 BHK,1445,3,64,3,4429.065744
Sarjapur  Road,3 BHK,1220,3,58,3,4754.098361
Sarjapur,4 Bedroom,3190,3,160,4,5015.673981
Ramagondanahalli,2 BHK,1215,2,51.26,2,4218.930041
Budigere,3 BHK,1920,2,88,3,4583.333333
Dodda Nekkundi,2 BHK,1390,2,60,2,4316.546763
Battarahalli,3 Bedroom,800,2,75,3,9375
Nagarbhavi,3 Bedroom,600,3,100,3,16666.66667
Hoodi,2 BHK,1196,2,71.74,2,5998.327759
Bannerghatta Road,3 BHK,1550,2,75,3,4838.709677
Thigalarapalya,2 BHK,1418,2,101,2,7122.708039
Varthur Road,3 BHK,1655,3,115,3,6948.640483
KR Puram,2 BHK,1115,2,33.45,2,3000
Rajiv Gandhi Nagar,2 BHK,1170,2,68,2,5811.965812
Anekal,2 BHK,1035,2,38.3,2,3700.483092
Singasandra,3 BHK,1306,2,58,3,4441.041348
Kengeri,2 BHK,750,2,22,2,2933.333333
Thanisandra,3 BHK,1917,3,122,3,6364.110589
Kaggadasapura,3 BHK,1615,3,58,3,3591.331269
Marathahalli,2 BHK,1071,2,52.25,2,4878.618114
Koramangala,2 BHK,1325,2,119,2,8981.132075
Malleshwaram,7 Bedroom,3000,4,900,7,30000
5th Phase JP Nagar,3 BHK,1400,2,88,3,6285.714286
Tumkur Road,2 BHK,1246,2,82,2,6581.05939
Sarjapur,2 BHK,1215,2,40,2,3292.18107
Munnekollal,2 BHK,1200,2,49.5,2,4125
Kurubarahalli,4 Bedroom,450,3,53,4,11777.77778
Kodigehaali,2 BHK,1200,2,60,2,5000
Kaval Byrasandra,2 BHK,945,2,50,2,5291.005291
Benson Town,4 BHK,4460,5,650,4,14573.99103
Hormavu,2 BHK,1175,2,52,2,4425.531915
Whitefield,2 BHK,920,2,63,2,6847.826087
Hosakerehalli,4 BHK,3024,5,350,4,11574.07407
Bidadi,2 Bedroom,1600,2,110,2,6875
Sanjay nagar,4 Bedroom,750,2,110,4,14666.66667
Sector 4 HSR Layout,4 Bedroom,2400,4,700,4,29166.66667
Bhagyalakshmi Avenue,2 BHK,955,1,34.01,2,3561.256545
Ardendale,3 BHK,1750,3,100,3,5714.285714
Uttarahalli,3 BHK,1425,2,64,3,4491.22807
Basavangudi,3 BHK,2150,3,265,3,12325.5814
Whitefield,2 BHK,1165,2,40.5,2,3476.39485
Kaggadasapura,2 BHK,1050,2,48,2,4571.428571
Cholanayakanahalli,3 BHK,1370,2,75,3,5474.452555
Electronic City,3 BHK,1374,2,72,3,5240.174672
Harlur,3 BHK,1754,3,124,3,7069.555302
Kothanur,3 BHK,1847,3,110,3,5955.603682
Ambedkar Nagar,3 BHK,1850,4,139,3,7513.513514
Chikka Tirupathi,3 Bedroom,3297,3,135,3,4094.631483
Doddakannelli,2 BHK,1187,2,45,2,3791.069924
Bommasandra Industrial Area,3 BHK,1400,2,40.44,3,2888.571429
Kengeri Hobli,3 Bedroom,600,2,30,3,5000
Chamrajpet,2 BHK,1350,2,180,2,13333.33333
Doddaballapur,3 Bedroom,3000,2,120,3,4000
Thanisandra,1 BHK,693,1,34.3,1,4949.494949
Dairy Circle,3 BHK,1980,3,224,3,11313.13131
KR Puram,2 BHK,1021,2,48,2,4701.273262
Thigalarapalya,2 BHK,1165,2,95,2,8154.506438
Horamavu Agara,3 BHK,1756,3,92,3,5239.179954
Bharathi Nagar,3 BHK,1739,3,105,3,6037.952846
Varthur,2 BHK,1280,2,65,2,5078.125
Marathahalli,2 BHK,1215,2,58.86,2,4844.444444
Munnekollal,2 BHK,950,2,46.5,2,4894.736842
Kengeri,3 BHK,1082,2,49,3,4528.650647
7th Phase JP Nagar,2 BHK,1050,2,42,2,4000
Devanahalli,2 BHK,1080,2,53.35,2,4939.814815
Arekere,2 BHK,1100,2,55,2,5000
Ardendale,4 Bedroom,3200,4,205,4,6406.25
Sarjapur  Road,2 BHK,1311,2,78,2,5949.656751
Raja Rajeshwari Nagar,3 BHK,1608,3,67.98,3,4227.61194
Begur Road,2 BHK,1160,2,36,2,3103.448276
Whitefield,2 BHK,1170,2,71,2,6068.376068
Kengeri,2 BHK,1155,2,40.6,2,3515.151515
Hebbal,3 BHK,1255,2,77.68,3,6189.641434
Rayasandra,2 BHK,1065,2,44.95,2,4220.657277
Neeladri Nagar,1 BHK,674,1,21,1,3115.727003
Ambedkar Nagar,3 BHK,1936,4,126,3,6508.264463
Sarakki Nagar,3 BHK,2289,3,260,3,11358.67191
Abbaiah Reddy Layout,2 BHK,1100,2,38.45,2,3495.454545
Ramagondanahalli,3 BHK,2257,4,157,3,6956.136464
Nagarbhavi,2 BHK,1055,2,55,2,5213.270142
Raja Rajeshwari Nagar,3 BHK,1530,3,51.87,3,3390.196078
Dinnur,3 BHK,1700,3,97,3,5705.882353
Raja Rajeshwari Nagar,3 BHK,1575,2,78,3,4952.380952
Frazer Town,3 BHK,3500,4,330,3,9428.571429
Rajiv Nagar,2 BHK,1263,2,93.32,2,7388.756928
KR Puram,3 BHK,1559,3,69.315,3,4446.119307
Kengeri Satellite Town,2 BHK,1043,2,65,2,6232.023011
Hennur,2 BHK,1255,2,53.5,2,4262.948207
JP Nagar,2 BHK,1352.5,2,93.865,2,6940.110906
Chandapura,1 BHK,590,1,13.57,1,2300
Yelahanka,3 Bedroom,1550,3,120,3,7741.935484
Sarjapur  Road,3 BHK,1220,3,56,3,4590.163934
Rustam Bagh Layout,3 BHK,1900,3,160,3,8421.052632
Vasantha Vallabha Nagar,3 BHK,1360,3,55,3,4044.117647
Vyalikaval,2 BHK,1100,2,75,2,6818.181818
8th Phase JP Nagar,3 BHK,1455,3,73.31,3,5038.487973
KR Puram,2 BHK,1035,2,40.5,2,3913.043478
Harlur,2 BHK,1152,2,69,2,5989.583333
Bellandur,2 BHK,1299,2,82,2,6312.548114
Sarjapur  Road,3 BHK,1157,2,75,3,6482.281763
Rachenahalli,2 BHK,1050,2,52.5,2,5000
Pai Layout,2 BHK,1050,2,40,2,3809.52381
Vittasandra,2 BHK,1246,2,67.4,2,5409.309791
"Sarjapur Road, ",3 BHK,1929,3,115,3,5961.638154
Hennur,2 BHK,1285,2,60,2,4669.2607
Margondanahalli,3 Bedroom,1200,2,65,3,5416.666667
"Banaswadi, ",4 BHK,3161,4,214,4,6770.009491
BTM 2nd Stage,3 BHK,1850,3,170,3,9189.189189
Sompura,3 BHK,1025,2,37,3,3609.756098
Malleshwaram,2 BHK,1124,3,80,2,7117.437722
Balagere,2 BHK,1012,2,54.59,2,5394.268775
Giri Nagar,7 BHK,4500,5,250,7,5555.555556
8th Phase JP Nagar,2 BHK,871,2,55,2,6314.580941
Chinnapanahalli,2 BHK,1020,2,40,2,3921.568627
Rachenahalli,3 BHK,1550,3,73.5,3,4741.935484
Anand Nagar,3 Bedroom,3515,3,420,3,11948.7909
Akshaya Nagar,3 BHK,1410,2,80,3,5673.758865
Chikka Tirupathi,4 Bedroom,3500,5,150,4,4285.714286
Whitefield,2 BHK,1118,2,75,2,6708.407871
Thanisandra,2 BHK,1098,2,68,2,6193.078324
Kanakapura,2 BHK,1130,2,45.2,2,4000
Sarjapur  Road,2 BHK,1145,2,75,2,6550.218341
Kadugodi,3 Bedroom,950,3,80,3,8421.052632
Balaji Gardens Layout,2 BHK,1051,2,33,2,3139.866794
Thavarekere,7 Bedroom,600,7,108,7,18000
Marathahalli,2 BHK,1102,2,53.67,2,4870.235935
Jalahalli,2 BHK,1478,2,125,2,8457.374831
Chandapura,1 BHK,645,1,16.45,1,2550.387597
Hebbal,2 BHK,823,2,50.63,2,6151.883354
Abbigere,2 BHK,880,2,35,2,3977.272727
KR Puram,4 Bedroom,600,5,75,4,12500
Budigere,3 BHK,1991,4,100,3,5022.601708
TC Palaya,3 BHK,1100,3,50,3,4545.454545
Gubbalala,3 BHK,1745,3,115,3,6590.25788
HAL 2nd Stage,2 BHK,1226,3,135,2,11011.41925
Begur Road,3 Bedroom,680,4,68,3,10000
 Devarabeesana Halli,2 BHK,1100,2,70,2,6363.636364
Banashankari Stage VI,4 Bedroom,1200,4,195,4,16250
5th Phase JP Nagar,2 BHK,1450,2,58,2,4000
Singasandra,4 BHK,3366,4,120,4,3565.062389
Sahakara Nagar,2 BHK,1150,2,54,2,4695.652174
Kanakpura Road,3 BHK,1843,3,95.84,3,5200.217037
Banashankari Stage VI,4 Bedroom,2200,4,195,4,8863.636364
Bommanahalli,2 BHK,1090,3,44,2,4036.697248
Kaggadasapura,2 BHK,1132,2,42,2,3710.24735
Hulimavu,2 BHK,1375,2,80,2,5818.181818
7th Phase JP Nagar,4 Bedroom,1500,5,220,4,14666.66667
Thanisandra,1 BHK,760,1,50.3,1,6618.421053
Kaggadasapura,2 BHK,1180,2,65,2,5508.474576
Jigani,2 BHK,918,2,45,2,4901.960784
Rachenahalli,5 Bedroom,600,5,50,5,8333.333333
Margondanahalli,2 Bedroom,1200,1,53,2,4416.666667
HSR Layout,2 BHK,1372,2,61,2,4446.06414
1st Block HRBR Layout,7 Bedroom,2400,7,355,7,14791.66667
Ardendale,3 BHK,1728,3,95,3,5497.685185
Malleshwaram,3 BHK,2215,3,275,3,12415.34989
BTM 2nd Stage,2 BHK,1200,2,80,2,6666.666667
6th Phase JP Nagar,2 BHK,1280,2,56,2,4375
Hulimavu,4 Bedroom,800,4,110,4,13750
Byrasandra,3 BHK,1455,2,56,3,3848.797251
 Rachenahalli,1 RK,440,1,28,1,6363.636364
Kanakpura Road,3 Bedroom,1500,3,97,3,6466.666667
Whitefield,3 BHK,1800,3,110,3,6111.111111
Mysore Road,3 BHK,1525,3,96,3,6295.081967
Rachenahalli,2 BHK,1204,2,38.5,2,3197.674419
Old Madras Road,2 BHK,1225,2,53.55,2,4371.428571
Kalyan nagar,6 Bedroom,800,6,98,6,12250
Bannerghatta Road,3 BHK,1650,3,122,3,7393.939394
Electronic City,3 BHK,880,2,18,3,2045.454545
Bikasipura,4 Bedroom,4200,4,255,4,6071.428571
Tippenahalli,2 Bedroom,1200,2,55,2,4583.333333
Sarjapur  Road,4 Bedroom,1152,4,230,4,19965.27778
9th Phase JP Nagar,2 BHK,1005,2,42,2,4179.104478
Whitefield,3 BHK,1562,3,103,3,6594.110115
Devanahalli,4 Bedroom,5000,5,395,4,7900
Babusapalaya,6 Bedroom,810,5,95,6,11728.39506
Ramamurthy Nagar,2 BHK,1200,2,42,2,3500
Kasavanhalli,3 BHK,1555,3,82.5,3,5305.466238
KR Puram,2 Bedroom,1550,2,71,2,4580.645161
Whitefield,2 BHK,1190,2,67,2,5630.252101
Chikkalasandra,2 BHK,1070,2,50,2,4672.897196
Jalahalli East,2 BHK,1020,2,42.48,2,4164.705882
Yelahanka,3 BHK,1610,3,115,3,7142.857143
Prestige Sunrise,1 BHK,700,1,41,1,5857.142857
Akshaya Vana,3 BHK,1300,2,49,3,3769.230769
Hebbal,2 BHK,1420,2,123,2,8661.971831
Vidyaranyapura,9 Bedroom,1200,9,100,9,8333.333333
Hebbal,3 BHK,1069,3,65.4,3,6117.867166
Marathahalli,3 BHK,1900,3,123,3,6473.684211
Old Airport Road,2 BHK,1655,2,97.65,2,5900.302115
Uttarahalli,2 BHK,1155,2,40.42,2,3499.5671
Sarjapur  Road,3 BHK,1300,2,70,3,5384.615385
Electronic City,2 BHK,1100,2,45,2,4090.909091
Doddathoguru,2 BHK,1030,2,42,2,4077.669903
Vittasandra,2 BHK,2105,2,70.2,2,3334.916865
Bhoganhalli,3 BHK,1700,3,126,3,7411.764706
Jakkur,3 BHK,1760,3,139,3,7897.727273
Kadugodi,9 Bedroom,6200,9,200,9,3225.806452
1st Stage Indira Nagar,2 BHK,1400,2,67,2,4785.714286
Srigandada Kaval,2 BHK,1200,2,53,2,4416.666667
Bannerghatta Road,2 BHK,912,2,55,2,6030.701754
Whitefield,2 BHK,1102,2,48,2,4355.716878
Channasandra Layout,3 BHK,1535,3,55,3,3583.061889
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Jigani,2 BHK,918,2,63.2,2,6884.53159
Begur Road,3 BHK,1500,2,70,3,4666.666667
Mathikere Extension,3 Bedroom,3000,3,250,3,8333.333333
Kasavanhalli,3 BHK,1476,3,89,3,6029.810298
Mysore Road,2 BHK,1200,2,65,2,5416.666667
Vijayanagar,1 BHK,606,1,34.78,1,5739.273927
Viswajit Layout,2 BHK,1100,2,61,2,5545.454545
Garudachar Palya,3 BHK,1295,2,59.5,3,4594.594595
Neeladri Nagar,1 BHK,527,1,26,1,4933.586338
OMBR Layout,2 BHK,1300,2,80,2,6153.846154
Bommanahalli,3 Bedroom,680,4,68,3,10000
Adityanagar,1 Bedroom,1260,1,41,1,3253.968254
Koramangala,2 BHK,1140,2,75.2,2,6596.491228
BDS Layout,1 Bedroom,1500,1,37.5,1,2500
Whitefield,3 BHK,2321,4,128,3,5514.864283
Sarjapur  Road,2 BHK,1390,2,62,2,4460.431655
Sarjapur  Road,3 BHK,1725,3,90,3,5217.391304
Hebbal,4 BHK,3067,4,310,4,10107.597
Hennur Road,3 BHK,1186,2,63,3,5311.973019
Kanakpura Road,2 BHK,1230,2,85,2,6910.569106
 Mysore Highway,1 BHK,600,1,17,1,2833.333333
Yeshwanthpur,3 BHK,1313,3,96,3,7311.500381
TC Palaya,2 Bedroom,900,2,55,2,6111.111111
Ambalipura,2 BHK,1250,2,66.25,2,5300
HBR Layout,9 Bedroom,1200,6,280,9,23333.33333
Binny Pete,1 BHK,660,1,54,1,8181.818182
Basavangudi,2 BHK,1036,2,105,2,10135.13514
Koramangala,4 BHK,2700,4,450,4,16666.66667
Old Madras Road,2 BHK,1100,2,70,2,6363.636364
BTM 2nd Stage,4 Bedroom,1500,2,450,4,30000
Singasandra,4 Bedroom,525,5,56,4,10666.66667
Electronics City Phase 1,2 BHK,1015,2,56,2,5517.241379
Gottigere,1 Bedroom,812,1,26,1,3201.970443
Narayana Nagar 1st Block,3 BHK,1360,2,65,3,4779.411765
Nehru Nagar,3 BHK,2167,3,170,3,7844.946931
Raja Rajeshwari Nagar,2 BHK,1200,2,35,2,2916.666667
Gopalkrishna Nagar,2 BHK,1165,2,75,2,6437.76824
BTM 2nd Stage,2 BHK,1274,2,70,2,5494.505495
Raja Rajeshwari Nagar,2 BHK,1151,2,39.02,2,3390.095569
Vidyaranyapura,6 Bedroom,1060,6,110,6,10377.35849
Thubarahalli,3 BHK,1626,2,120,3,7380.073801
Banashankari Stage V,2 BHK,1035,2,35.77,2,3456.038647
Shanthi Layout,3 Bedroom,1272,4,75,3,5896.226415
Jeevan bima nagar,2 BHK,965,2,45,2,4663.212435
Esther Enclave Layout,5 Bedroom,1600,5,140,5,8750
Kothannur,2 BHK,1070,2,42.79,2,3999.065421
Raja Rajeshwari Nagar,3 BHK,1570,2,65,3,4140.127389
Keerthi Layout,2 BHK,780,2,25,2,3205.128205
Ganga Nagar Extension,3 BHK,1000,2,65,3,6500
9th Phase JP Nagar,4 Bedroom,1200,3,188,4,15666.66667
Tindlu,7 Bedroom,7500,7,400,7,5333.333333
5th Phase JP Nagar,3 BHK,1700,2,100,3,5882.352941
Haralur Road,3 BHK,1850,3,110,3,5945.945946
Kereguddadahalli,2 BHK,904,2,30,2,3318.584071
Shikaripalya,2 BHK,1121,2,43.72,2,3900.089206
7th Phase JP Nagar,3 BHK,1385,2,58.17,3,4200
Sahakara Nagar,2 BHK,1270,2,69.85,2,5500
Kanakpura Road,3 BHK,1450,3,56,3,3862.068966
Huttanahalli,3 Bedroom,2400,4,325,3,13541.66667
Mahadevpura,1 BHK,730,1,35,1,4794.520548
Raja Rajeshwari Nagar,3 BHK,1580,3,53.56,3,3389.873418
Thanisandra,2 BHK,1111,2,50,2,4500.450045
Kengeri,4 Bedroom,1125,2,88,4,7822.222222
Varthur,2 BHK,977,2,36,2,3684.749232
Gunjur Palya,2 BHK,674,1,19.9,2,2952.522255
Nagarbhavi,3 Bedroom,600,3,83,3,13833.33333
Sarjapur,4 Bedroom,2540,4,115,4,4527.559055
Jakkur,2 BHK,1290,2,100,2,7751.937984
Kumaraswami Layout,3 Bedroom,600,3,98,3,16333.33333
Abbigere,2 BHK,795,2,32.54,2,4093.081761
